,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,new_term,int_rates_add_2pct
57,111977321,,28000,28000,28000,60 months,15.05,666.86,C,C4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,014xx,MA,17.73,0,Sep-97,0,,,12,0,141288,44.4,24,w,NULL,17.05000019
58,112438357,,10000,10000,10000,60 months,9.93,212.13,B,B2,17-Jun,Current,n,,credit_card,Credit card refinancing,606xx,IL,6.14,0,1-Mar,0,,,6,0,9980,77.4,14,w,NULL,11.93000031
59,112087682,,15000,15000,15000,36 months,11.99,498.15,B,B5,17-Jun,Fully Paid,n,,credit_card,Credit card refinancing,917xx,CA,16.59,0,8-Apr,0,,,9,0,12271,56.5,17,w,NULL,13.98999977
60,112209888,,18000,18000,18000,60 months,12.62,406.07,C,C1,17-Jun,Current,n,,debt_consolidation,Debt consolidation,270xx,NC,21.47,0,3-Jul,0,54,,18,0,22599,52.7,31,w,NULL,14.61999989
61,111515054,,14450,14450,14450,60 months,15.05,344.15,C,C4,17-Jun,Current,n,,home_improvement,Home improvement,805xx,CO,12.78,0,4-May,0,26,,8,0,4540,31.5,37,w,NULL,17.05000019
62,111997144,,5000,5000,5000,36 months,10.91,163.49,B,B4,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,346xx,FL,18.6,1,Sep-96,2,3,,9,0,3380,23.6,16,w,NULL,12.90999985
63,112438186,,10000,10000,10000,60 months,25.82,298.34,E,E4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,492xx,MI,5.3,2,4-Mar,1,11,,5,0,4498,48.9,14,w,NULL,27.81999969
64,112077258,,18000,18000,18000,60 months,14.08,419.58,C,C3,17-Jun,Current,n,,home_improvement,Home improvement,117xx,NY,3.79,0,May-97,0,30,,10,0,1059,6.2,19,w,NULL,16.07999992
65,111826718,,24000,24000,24000,60 months,9.93,509.11,B,B2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,857xx,AZ,18.41,0,Feb-94,1,59,,24,0,39578,35.1,38,w,NULL,11.93000031
66,111411377,,13375,13375,13375,60 months,15.05,318.55,C,C4,17-Jun,Current,n,,home_improvement,Home improvement,801xx,CO,23.29,0,Oct-99,0,,94,6,1,10260,57,32,w,NULL,17.05000019
67,111670729,,40000,40000,40000,36 months,9.44,1280.2,B,B1,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,761xx,TX,4.76,1,Jun-99,0,23,,11,0,23493,0,34,w,NULL,11.43999958
68,110732361,,12000,12000,12000,60 months,16.02,291.95,C,C5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,847xx,UT,31.28,1,4-Nov,0,22,,10,0,11998,60,16,w,NULL,18.02000046
69,111788759,,25000,25000,25000,60 months,15.05,595.41,C,C4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,799xx,TX,18.28,0,3-Jun,0,59,55,16,1,6706,26.5,38,w,NULL,17.05000019
70,112339884,,12000,12000,12000,60 months,14.08,279.72,C,C3,17-Jun,Current,n,,credit_card,Credit card refinancing,850xx,AZ,20.34,4,Apr-98,1,5,,6,0,8266,98.4,32,w,NULL,16.07999992
71,112028979,,35000,35000,35000,60 months,30.84,1150.5,G,G2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,294xx,SC,18.17,0,Mar-88,2,,,12,0,25826,74.6,15,w,NULL,32.84000015
72,111926953,,20000,20000,20000,36 months,11.99,664.2,B,B5,17-Jun,Fully Paid,n,,credit_card,Credit card refinancing,060xx,CT,22.93,0,2-Jan,0,,,12,0,17749,55,42,w,NULL,13.98999977
73,110261189,,35000,35000,35000,60 months,15.05,833.57,C,C4,17-Jun,Late (31-120 days),n,,credit_card,Credit card refinancing,930xx,CA,13.76,0,Jun-75,2,,,14,0,226474,84,48,w,NULL,17.05000019
74,111684589,,20000,20000,20000,60 months,11.99,444.79,B,B5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,554xx,MN,11.89,0,5-Aug,0,,,9,0,20111,78,10,w,NULL,13.98999977
75,112080857,,10000,10000,10000,36 months,10.42,324.65,B,B3,17-Jun,Fully Paid,n,,credit_card,Credit card refinancing,935xx,CA,23.12,0,3-Oct,1,81,,12,0,14224,66.2,20,w,NULL,12.42000008
76,112058115,,12000,12000,12000,60 months,17.09,298.82,D,D1,17-Jun,Current,n,,debt_consolidation,Debt consolidation,334xx,FL,12.14,2,5-Oct,0,18,,10,0,12759,85.1,15,w,NULL,19.09000015
77,111752224,,12950,12950,12950,60 months,14.08,301.87,C,C3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,210xx,MD,212.68,0,4-Feb,0,32,,12,0,11620,62.8,26,w,NULL,16.07999992
78,111460325,,30000,30000,30000,60 months,16.02,729.87,C,C5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,708xx,LA,15.35,0,Aug-95,0,38,,8,0,3379,70.4,19,w,NULL,18.02000046
79,110729981,,35000,35000,35000,60 months,24.85,1024.23,E,E3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,945xx,CA,6.7,0,6-Oct,0,,,7,0,47113,83.5,16,w,NULL,26.85000038
80,111939060,,9600,9600,9600,36 months,11.99,318.82,B,B5,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,952xx,CA,13.58,0,Jul-97,0,43,,8,0,12228,69.5,24,w,NULL,13.98999977
81,112189200,,18000,18000,18000,60 months,15.05,428.7,C,C4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,441xx,OH,22.74,0,Jun-00,0,,,8,0,17564,44.6,18,w,NULL,17.05000019
82,111811801,,15000,15000,15000,36 months,16.02,527.51,C,C5,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,330xx,FL,10.46,1,Mar-99,2,21,,15,0,2782,5.5,25,w,NULL,18.02000046
83,112034146,,14000,14000,14000,60 months,12.62,315.83,C,C1,17-Jun,Current,n,,credit_card,Credit card refinancing,585xx,ND,32.32,0,Sep-00,0,,,7,0,13891,68.4,20,w,NULL,14.61999989
84,111957035,,20000,20000,20000,60 months,11.99,444.79,B,B5,17-Jun,Current,n,,home_improvement,Home improvement,300xx,GA,20.78,2,Aug-88,1,10,,7,0,4259,47,23,w,NULL,13.98999977
85,112036603,,23900,23900,23900,60 months,15.05,569.21,C,C4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,543xx,WI,27.58,0,Jul-99,0,,,7,0,24224,88.7,21,w,NULL,17.05000019
86,111874950,,8000,8000,8000,36 months,16.02,281.34,C,C5,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,597xx,MT,3.54,0,13-Jul,0,26,,5,0,295,1.5,6,w,NULL,18.02000046
87,111772883,,27000,27000,27000,60 months,13.59,622.52,C,C2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,633xx,MO,20.27,0,3-Sep,0,,,16,0,31077,80.5,30,w,NULL,15.59000015
88,112081393,,18000,18000,18000,60 months,16.02,437.92,C,C5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,321xx,FL,23.43,0,7-Apr,0,,,17,0,23788,49.4,25,w,NULL,18.02000046
89,111916888,,13000,13000,13000,60 months,21.45,355,D,D5,17-Jun,Fully Paid,n,,credit_card,Credit card refinancing,958xx,CA,21.3,0,3-Jan,0,26,,30,0,11225,31.4,52,w,NULL,23.45000076
90,111896124,,20000,20000,20000,60 months,15.05,476.33,C,C4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,460xx,IN,23.42,0,7-Jun,0,,,9,0,10682,85,13,w,NULL,17.05000019
91,112056532,,16000,16000,16000,60 months,26.3,481.9,E,E5,17-Jun,Current,n,,credit_card,Credit card refinancing,327xx,FL,20.26,0,4-Mar,1,58,52,24,1,8118,30,34,w,NULL,28.29999924
92,112155096,,16000,16000,16000,60 months,30.75,525.05,F,F5,17-Jun,Current,n,,other,Other,240xx,VA,20.24,0,6-Oct,0,56,23,11,1,8594,62.3,24,w,NULL,32.75
93,112389959,,3800,3800,3800,36 months,9.93,122.5,B,B2,17-Jun,Fully Paid,n,,major_purchase,Major purchase,751xx,TX,16.91,0,Nov-78,1,,,13,0,23266,40.9,41,w,NULL,11.93000031
94,110736503,,35000,35000,35000,60 months,19.03,908.5,D,D3,17-Jun,Current,n,,home_improvement,Home improvement,773xx,TX,3.07,1,8-Apr,1,22,,3,0,10349,64.3,4,w,NULL,21.03000069
95,112289996,,19200,19200,19200,60 months,16.02,467.12,C,C5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,238xx,VA,18.65,0,2-Apr,0,71,61,8,1,5802,64.5,15,w,NULL,18.02000046
96,111987306,,4500,4500,4500,36 months,11.99,149.45,B,B5,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,565xx,MN,31.86,0,Jun-00,0,48,,10,0,7757,73.9,24,w,NULL,13.98999977
97,111957482,,25350,25350,25350,60 months,19.03,658.02,D,D3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,762xx,TX,22.06,0,5-May,1,,90,13,1,10638,68.2,27,w,NULL,21.03000069
98,112199737,,25000,25000,25000,60 months,16.02,608.22,C,C5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,640xx,MO,17.41,0,2-May,0,,,8,0,2792,29.4,11,w,NULL,18.02000046
99,112106035,,28000,28000,28000,60 months,20,741.83,D,D4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,158xx,PA,11.58,0,6-Mar,0,,100,8,1,16018,63.1,15,w,NULL,22
100,112051635,,18000,18000,18000,60 months,9.93,381.83,B,B2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,275xx,NC,26.52,0,Aug-88,0,48,,28,0,39723,71.2,51,w,NULL,11.93000031
101,112075416,,12000,12000,12000,60 months,14.08,279.72,C,C3,17-Jun,Current,n,,other,Other,919xx,CA,26.42,0,2-Jan,0,,,7,0,11750,82.7,18,w,NULL,16.07999992
102,111976241,,32475,32475,32475,60 months,19.03,842.96,D,D3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,109xx,NY,12.35,0,7-Jun,0,70,56,8,1,2179,34.6,9,w,NULL,21.03000069
103,111976854,,25000,25000,25000,60 months,21.45,682.68,D,D5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,748xx,OK,10.35,2,8-Jun,0,,,11,0,953,7,14,w,NULL,23.45000076
104,110112290,,20000,20000,20000,60 months,18.06,508.53,D,D2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,294xx,SC,21.15,2,2-Mar,0,13,,18,0,17781,61.5,37,w,NULL,20.05999947
105,111774938,,25000,25000,25000,60 months,10.42,536.36,B,B3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,850xx,AZ,13.49,0,May-97,1,80,,9,0,11821,32,23,w,NULL,12.42000008
106,112437177,,11000,11000,11000,60 months,12.62,248.15,C,C1,17-Jun,Current,n,,debt_consolidation,Debt consolidation,130xx,NY,20.58,0,4-Jun,0,,,5,0,4226,41.8,15,w,NULL,14.61999989
107,110657507,,12000,12000,12000,60 months,19.03,311.49,D,D3,17-Jun,Current,n,,credit_card,Credit card refinancing,853xx,AZ,16.6,0,5-Nov,0,,,14,0,40982,85.6,28,w,NULL,21.03000069
108,111858785,,12000,12000,12000,60 months,9.44,251.68,B,B1,17-Jun,Current,n,,debt_consolidation,Debt consolidation,152xx,PA,14.44,0,7-Jul,1,,,9,0,15923,39,18,w,NULL,11.43999958
109,111956832,,3000,3000,3000,36 months,13.59,101.94,C,C2,17-Jun,Fully Paid,n,,home_improvement,Home improvement,760xx,TX,21.83,0,4-Feb,1,,,10,0,14684,73.1,16,w,NULL,15.59000015
110,111975601,,25000,25000,25000,60 months,9.93,530.32,B,B2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,021xx,MA,28.97,0,5-Oct,0,,,21,0,9804,68.1,50,w,NULL,11.93000031
111,112043549,,20000,20000,20000,60 months,23.88,573.97,E,E2,17-Jun,Fully Paid,n,,credit_card,Credit card refinancing,530xx,WI,34.1,0,5-Oct,0,,,18,0,32776,60,45,w,NULL,25.87999916
112,112045518,,6000,6000,6000,36 months,15.05,208.14,C,C4,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,917xx,CA,15.39,0,7-Jul,0,,,5,0,1825,50.7,6,w,NULL,17.05000019
113,111946801,,24000,24000,24000,60 months,11.99,533.75,B,B5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,243xx,VA,23.82,0,9-Apr,1,,,12,0,15219,75,17,w,NULL,13.98999977
114,112152443,,35000,35000,35000,36 months,5.32,1054.02,A,A1,17-Jun,Fully Paid,n,,home_improvement,Home improvement,980xx,WA,30.51,0,Sep-97,2,,,24,0,32088,47.5,41,w,NULL,7.320000172
115,111462115,,35000,35000,35000,60 months,13.59,806.97,C,C2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,207xx,MD,12.75,0,Aug-91,1,35,59,15,1,73281,54,32,w,NULL,15.59000015
116,111659998,,36000,36000,36000,60 months,16.02,875.84,C,C5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,760xx,TX,17.78,0,3-Nov,0,28,,13,0,25138,49.2,37,w,NULL,18.02000046
117,111936757,,20000,20000,20000,60 months,17.09,498.02,D,D1,17-Jun,Current,n,,home_improvement,Home improvement,923xx,CA,1.83,2,May-93,0,0,,5,0,3573,51,14,w,NULL,19.09000015
118,112389791,,15500,15500,15500,36 months,9.93,499.64,B,B2,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,227xx,VA,20.63,0,4-Jul,0,,116,14,1,14149,55.9,38,w,NULL,11.93000031
119,112058493,,25000,25000,25000,60 months,10.42,536.36,B,B3,17-Jun,Current,n,,credit_card,Credit card refinancing,705xx,LA,29.84,0,Jun-00,0,,,10,0,21879,61.5,15,w,NULL,12.42000008
120,112152082,,25000,25000,25000,60 months,24.85,731.59,E,E3,17-Jun,Fully Paid,n,,credit_card,Credit card refinancing,308xx,GA,16.01,0,2-Aug,0,60,,17,0,24526,44.9,29,w,NULL,26.85000038
121,112437260,,11200,11200,11200,60 months,9.93,237.59,B,B2,17-Jun,Current,n,,vacation,Vacation,932xx,CA,3.64,0,2-Aug,0,,94,21,1,3923,7.2,30,w,NULL,11.93000031
122,112057185,,2100,2100,2100,36 months,13.59,71.36,C,C2,17-Jun,Fully Paid,n,,other,Other,900xx,CA,29.82,0,4-Apr,0,,,6,0,26842,98,10,w,NULL,15.59000015
123,110996664,,32000,32000,32000,60 months,14.08,745.92,C,C3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,187xx,PA,22.56,0,Jun-97,0,39,,4,0,2705,52,18,w,NULL,16.07999992
124,112152930,,15000,15000,15000,36 months,9.93,483.52,B,B2,17-Jun,Fully Paid,n,,home_improvement,Home improvement,945xx,CA,20.7,0,Nov-79,0,41,,8,0,26146,22.7,23,w,NULL,11.93000031
125,112008296,,10000,10000,10000,60 months,9.44,209.73,B,B1,17-Jun,Current,n,,major_purchase,Major purchase,983xx,WA,29.79,0,Sep-98,0,54,,8,0,23464,90.9,15,w,NULL,11.43999958
